,Actors,ActorImageUrl,Personality-Traits
17,Anupam Kher,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY317_CR4,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
18,Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
19,Amrish Puri,"https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","['Emotional and loving', 'Intuitive and imaginative', 'Shrewd and cautious', 'Protective and sympathetic', 'Changeable and moody', 'Overemotional and touchy', 'Clinging and unable to let go']"
20,Amole Gupte,"https://m.media-amazon.com/images/M/MV5BZmNhMWQyOGYtYmZkMy00ZjdjLWE4N2QtYjc0NzEyZjViZWQzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",[None]
21,Boman Irani,"https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY317_CR93,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
22,Balraj Sahni,"https://m.media-amazon.com/images/M/MV5BZDgwMGMzMWUtMmQ1Yi00NjM0LTlkMDgtMTk5MmFkMWJhNDY1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","['Patient and reliable', 'Warmhearted and loving', 'Persistent and determined', 'Placid and security loving', 'Jealous and possessive', 'Resentful and inflexible', 'Self-indulgent and greedy ']"
23,Binnu Dhillon,,[None]
24,Bharat Bhushan,"https://m.media-amazon.com/images/M/MV5BODIwNGY2OGItN2I4Ny00Y2ExLWEzZmQtMTI0M2IxMWQxYTU5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
25,Chiranjeevi,"https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
26,Chunky Pandey,"https://m.media-amazon.com/images/M/MV5BMTk5NjI3MTEwNF5BMl5BanBnXkFtZTgwMzU2MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
27,Danny Denzongpa,"https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
28,Darsheel Safary,"https://m.media-amazon.com/images/M/MV5BMjYyYzViMmYtMjU4Yi00NGM3LWFjZTEtZmFkOGFmOTllY2I2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
29,Deepak Tijori,"https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
30,Dharmendra,"https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
31,Deepika Padukone,"https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
32,Dimple Kapadia,"https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY317_CR122,0,214,317_AL__QL50.jpg","['Adaptable and versatile', 'Communicative and witty', 'Intellectual and eloquent', 'Youthful and lively', 'Nervous and tense', 'Superficial and inconsistent', 'Cunning and inquisitive ']"
33,Dev Anand,"https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
34,Deepti Naval,"https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Friendly and humanitarian ', 'Honest and loyal ', 'Original and inventive ', 'Independent and intellectual ', 'Intractable and contrary ', 'Perverse and unpredictable ', 'Unemotional and detached']"
35,Dilip Kumar,"https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY317_CR102,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
36,Farooq Shaikh,"https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
37,Farhan Akhtar,"https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
38,Feroz Khan,"https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
39,Farida Jalal,"https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
40,Guru Dutt,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg","['Emotional and loving', 'Intuitive and imaginative', 'Shrewd and cautious', 'Protective and sympathetic', 'Changeable and moody', 'Overemotional and touchy', 'Clinging and unable to let go']"
41,Govinda,"https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY317_CR21,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
42,Gulshan Grover,"https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Modest and shy ', 'Meticulous and reliable ', 'Practical and diligent ', 'Intelligent and analytical ', 'Fussy and a worrier ', 'Overcritical and harsh ', 'Perfectionist and conservative ']"
43,Gurpreet Ghuggi,"https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",[None]
44,Girish Karnad,"https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY317_CR24,0,214,317_AL__QL50.jpg","['Patient and reliable', 'Warmhearted and loving', 'Persistent and determined', 'Placid and security loving', 'Jealous and possessive', 'Resentful and inflexible', 'Self-indulgent and greedy ']"
45,Hrithik Roshan,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
46,Huma Qureshi,"https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
47,Inaamulhaq,"https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
48,Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
49,Jackie Shroff,"https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR23,0,214,317_AL__QL50.jpg","['Friendly and humanitarian ', 'Honest and loyal ', 'Original and inventive ', 'Independent and intellectual ', 'Intractable and contrary ', 'Perverse and unpredictable ', 'Unemotional and detached']"
50,Jimmy Sheirgill,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
51,Jeetendra,"https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
52,Jaspal Bhatti,"https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY317_CR17,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
53,Johnny Lever,"https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
54,Jaswinder Bhalla,,[None]
55,Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg","['Determined and forceful ', 'Emotional and intuitive ', 'Powerful and passionate ', 'Exciting and magnetic ', 'Jealous and resentful ', 'Compulsive and obsessive ', 'Secretive and obstinate']"
56,Kangana Ranaut,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY317_CR5,0,214,317_AL__QL50.jpg","['Imaginative and sensitive ', 'Compassionate and kind ', 'Selfless and unworldly ', 'Intuitive and sympathetic ', 'Escapist and idealistic ', 'Secretive and vague ', 'Weak-willed and easily led']"
57,Konkona Sen Sharma,"https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
58,Kader Khan,"https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","['Optimistic and freedom-loving ', 'Jovial and good-humored ', 'Honest and straightforward ', 'Intellectual and philosophical ', 'Blindly optimistic and careless ', 'Irresponsible and superficial ', 'Tactless and restless']"
59,Kay Kay Menon,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
60,Kajol,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY317_CR5,0,214,317_AL__QL50.jpg","['Generous and warmhearted', 'Creative and enthusiastic', 'Broad-minded and expansive', 'Faithful and loving', 'Pompous and patronizing', 'Bossy and interfering', 'Dogmatic and intolerant ']"
61,Kulbhushan Kharbanda,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY317_CR109,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
62,Kalki Koechlin,"https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
63,Kapil Sharma,"https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
64,Krishna Abhishek,"https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR15,0,214,317_AL__QL50.jpg",[None]
65,Karuna Bannerjee,"https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg","['Practical and prudent ', 'Ambitious and disciplined ', 'Patient and careful ', 'Humorous and reserved ', 'Pessimistic and fatalistic ', 'Miserly and grudging']"
66,Kanwaljit Singh,"https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",[None]
67,Lara Dutta,"https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY317_CR132,0,214,317_AL__QL50.jpg","['Adventurous and energetic', 'Pioneering and courageous', 'Enthusiastic and confident', 'Dynamic and quick-witted ', 'Selfish and quick-tempered', 'Impulsive and impatient', 'Foolhardy and daredevil ']"
68,Manjot Singh,"https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",[None]
69,Manu Rishi Chadha,"https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY317_CR173,0,214,317_AL__QL50.jpg",[None]
70,Mehmood,"https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","['Diplomatic and urbane ', 'Romantic and charming ', 'Easygoing and sociable ', 'Idealistic and peaceable ', 'Indecisive and changeable ', 'Gullible and easily influenced', 'Flirtatious and self-indulgent']"
